@relation car
@attribute buying {low,med,high,vhigh}
@attribute maint {low,med,high,vhigh}
@attribute doors {2,3,4,5more}
@attribute persons {2,4,more}
@attribute lug_boot {small,med,big}
@attribute safety {low,med,high}
@attribute Class {good,other}

@data
vhigh,vhigh,2,2,small,low,other
vhigh,vhigh,2,2,small,med,other
vhigh,vhigh,2,2,small,high,other
vhigh,vhigh,2,2,med,low,other
vhigh,vhigh,2,2,med,med,other
vhigh,vhigh,2,2,med,high,other
vhigh,vhigh,2,2,big,low,other
vhigh,vhigh,2,2,big,med,other
vhigh,vhigh,2,2,big,high,other
vhigh,vhigh,2,4,small,low,other
vhigh,vhigh,2,4,small,med,other
vhigh,vhigh,2,4,small,high,other
vhigh,vhigh,2,4,med,low,other
vhigh,vhigh,2,4,med,med,other
vhigh,vhigh,2,4,med,high,other
vhigh,vhigh,2,4,big,low,other
vhigh,vhigh,2,4,big,med,other
vhigh,vhigh,2,4,big,high,other
vhigh,vhigh,2,more,small,low,other
vhigh,vhigh,2,more,small,med,other
vhigh,vhigh,2,more,small,high,other
vhigh,vhigh,2,more,med,low,other
vhigh,vhigh,2,more,med,med,other
vhigh,vhigh,2,more,med,high,other
vhigh,vhigh,2,more,big,low,other
vhigh,vhigh,2,more,big,med,other
vhigh,vhigh,2,more,big,high,other
vhigh,vhigh,3,2,small,low,other
vhigh,vhigh,3,2,small,med,other
vhigh,vhigh,3,2,small,high,other
vhigh,vhigh,3,2,med,low,other
vhigh,vhigh,3,2,med,med,other
vhigh,vhigh,3,2,med,high,other
vhigh,vhigh,3,2,big,low,other
vhigh,vhigh,3,2,big,med,other
vhigh,vhigh,3,2,big,high,other
vhigh,vhigh,3,4,small,low,other
vhigh,vhigh,3,4,small,med,other
vhigh,vhigh,3,4,small,high,other
vhigh,vhigh,3,4,med,low,other
vhigh,vhigh,3,4,med,med,other
vhigh,vhigh,3,4,med,high,other
vhigh,vhigh,3,4,big,low,other
vhigh,vhigh,3,4,big,med,other
vhigh,vhigh,3,4,big,high,other
vhigh,vhigh,3,more,small,low,other
vhigh,vhigh,3,more,small,med,other
vhigh,vhigh,3,more,small,high,other
vhigh,vhigh,3,more,med,low,other
vhigh,vhigh,3,more,med,med,other
vhigh,vhigh,3,more,med,high,other
vhigh,vhigh,3,more,big,low,other
vhigh,vhigh,3,more,big,med,other
vhigh,vhigh,3,more,big,high,other
vhigh,vhigh,4,2,small,low,other
vhigh,vhigh,4,2,small,med,other
vhigh,vhigh,4,2,small,high,other
vhigh,vhigh,4,2,med,low,other
vhigh,vhigh,4,2,med,med,other
vhigh,vhigh,4,2,med,high,other
vhigh,vhigh,4,2,big,low,other
vhigh,vhigh,4,2,big,med,other
vhigh,vhigh,4,2,big,high,other
