@relation cmc
@attribute WifeAge numeric
@attribute WifeEducation {1,2,3,4}
@attribute HusbandEducation {1,2,3,4}
@attribute Children numeric
@attribute WifeReligion {1,0}
@attribute WifeWorking {1,0}
@attribute HusbandOccupation {1,2,3,4}
@attribute SOL {1,2,3,4}
@attribute Media {1,0}
@attribute Class{L,Other}

@data
24,2,3,3,1,1,2,3,0,Other
45,1,3,10,1,1,3,4,0,Other
43,2,3,7,1,1,3,4,0,Other
42,3,2,9,1,1,3,3,0,Other
36,3,3,8,1,1,3,2,0,Other
19,4,4,0,1,1,3,3,0,Other
38,2,3,6,1,1,3,2,0,Other
21,3,3,1,1,0,3,2,0,Other
27,2,3,3,1,1,3,4,0,Other
45,1,1,8,1,1,2,2,1,Other
38,1,3,2,1,0,3,3,1,Other
42,1,4,4,1,1,1,3,0,Other
44,4,4,1,1,0,1,4,0,Other
42,2,4,1,1,0,3,3,0,Other
38,3,4,2,1,1,2,3,0,Other
26,2,4,0,1,1,4,1,0,Other
48,1,1,7,1,1,2,4,0,Other
39,2,2,6,1,1,2,4,0,Other
37,2,2,8,1,1,2,3,0,Other
39,2,1,5,1,1,2,1,1,Other
26,3,4,1,1,0,4,1,0,Other
24,3,4,0,1,0,3,1,0,Other
46,4,4,1,0,1,1,4,0,Other
39,4,4,1,1,1,1,4,0,Other
48,4,4,5,1,1,1,4,0,Other
40,2,4,8,1,1,3,3,0,Other
38,4,4,1,1,0,1,4,0,Other
29,4,4,0,1,0,1,4,0,Other
24,4,4,0,1,0,2,2,0,Other
43,1,2,8,1,1,2,4,0,Other
31,3,4,2,1,1,1,4,0,Other
31,4,4,2,1,1,3,2,0,Other
26,2,4,0,1,0,1,2,0,Other
33,2,2,2,1,1,3,1,0,Other
24,2,3,1,1,1,3,3,0,Other
42,1,3,9,1,1,3,2,1,Other
43,1,2,8,1,0,3,1,0,Other
25,3,3,4,1,1,3,2,0,Other
42,2,2,3,1,1,3,4,0,Other
28,2,2,1,1,1,2,4,0,Other
28,1,1,3,1,1,3,1,0,Other
47,2,3,0,1,0,1,3,0,Other
48,2,4,2,1,1,1,3,0,Other
40,4,4,2,0,1,1,4,0,Other
28,2,2,1,1,1,3,2,0,Other
25,1,4,1,1,1,2,1,0,Other
32,4,4,2,1,1,2,3,0,Other
45,4,4,0,1,1,2,4,0,Other
26,4,4,1,1,1,1,4,0,Other
26,4,4,0,1,0,1,4,0,Other
31,4,4,0,1,0,1,4,0,Other
49,4,4,7,0,1,2,4,0,Other
40,3,4,8,1,1,3,3,0,Other
34,4,4,1,0,0,2,3,0,Other
36,2,4,5,1,1,2,3,0,Other
20,2,2,2,1,1,2,2,1,Other
43,4,4,5,1,0,1,4,0,Other
37,3,4,7,1,1,2,1,0,Other
21,2,3,0,1,1,3,4,0,Other
49,4,4,6,1,1,1,2,0,Other
42,3,3,10,1,1,3,3,0,Other
20,2,3,1,1,1,2,3,0,Other
47,1,2,2,1,0,1,3,0,Other
22,2,3,1,1,1,2,1,0,Other
27,2,4,1,1,0,1,3,0,Other
24,2,4,1,1,1,3,1,0,Other
44,4,2,8,1,1,3,3,0,Other
30,2,3,3,1,1,3,1,0,Other
23,3,4,2,1,1,3,4,0,Other
25,4,4,1,1,0,3,3,0,Other
47,2,3,4,1,1,2,3,0,Other
48,2,3,8,1,1,1,4,0,Other
29,2,3,1,1,1,1,1,0,Other
29,2,3,1,1,1,1,2,0,Other
21,3,4,0,1,1,2,3,0,Other
21,3,4,1,1,1,2,3,0,Other
29,4,4,0,1,0,2,4,0,Other
45,3,4,3,1,1,1,4,0,Other
